timestamp,num1,operator,num2,timetaken,got_wrong,timed,key_strokes,wrong_ans
1696394084.3772979,154,/,2,1.602,False,False,120,"1.3,1.602",
1696394124.634709,3,*,7,2.206,False,False,120,"2.154,2.206",
1696394127.226763,55,+,92,2.592,False,False,120,"2.389,2.5,2.592",
1696394131.8445399,37,+,26,4.618,False,False,120,"4.457,4.618",
1696394150.9609659,12,*,82,19.116,False,False,120,"18.198,18.3,19.116",
1696394152.808727,290,/,10,1.848,False,False,120,"1.661,1.848",
1696394156.439382,97,+,7,3.631,False,False,120,"3.214,3.426,3.63",
1696394176.4129012,79,+,68,19.973,True,False,120,"3.649,3.766,3.867,-4.584,-4.75,-4.865,-4.951,5.375,5.487,5.606,-6.204,-6.343,7.129,7.204,-7.664,-7.793,8.713,8.98,-10.091,-11.34,12.299,12.43,12.519,-12.986,-13.1,-13.484,14.161,14.225,-15.026,-15.21,-15.386,15.858,15.981,16.105,-17.354,-17.508,-17.619,-17.745,-17.865,19.592,19.829,19.973","715,157,167,153,116,1167,177"
1696394178.739284,69,-,70,2.326,False,False,120,"2.252,2.326",
1696394187.3564632,11,*,64,8.617,False,False,120,"4.368,4.922,-5.632,-5.763,-5.882,8.228,8.421,8.617",
1696394190.687948,75,+,25,3.331,False,False,120,"3.102,3.193,3.331",
1696394208.85724,7,*,65,18.169,False,False,120,"3.084,3.577,-4.121,-4.333,-4.572,7.539,-16.913,17.949,18.037,18.169",
1696394231.270976,432,/,8,22.414,False,False,120,"13.884,14.059,-14.461,14.685,-15.016,-15.609,-15.733,16.171,16.347,16.583,-16.642,-16.784,-16.923,-17.05,22.357,22.414",
1696394232.6565828,28,/,4,1.386,False,False,120,1.385,
