timestamp,num1,operator,num2,timetaken,got_wrong,timed
1695266001.055511,8,/,2,2.493,False,False,0
1695266002.778809,9,/,3,1.723,False,False,0
1695266005.9291232,40,+,55,3.15,False,False,0
1695266013.480416,3,*,89,7.551,False,False,0
1695266018.408854,30,-,51,4.928,False,False,0
1695266019.99031,50,/,5,1.581,False,False,0
1695266021.269208,11,*,3,1.279,False,False,0
1695266039.0420249,42,-,73,17.773,True,False,0
1695266044.855242,4,*,56,5.813,False,False,0
1695266047.1967921,84,-,81,2.341,False,False,0
1695266049.885118,7,*,4,2.688,False,False,0
1695266053.105495,30,-,76,3.22,False,False,0
1695266057.7702122,74,+,86,4.665,False,False,0
1695266059.436634,5,*,7,1.666,False,False,0
1695266064.5636952,7,*,40,5.127,False,False,0
1695266095.506091,711,/,9,30.942,False,False,0
1695266099.147821,12,+,31,3.641,False,False,0
1695266112.4984372,93,-,86,13.35,False,False,0
1695266135.925877,175,/,5,23.427,False,False,0
1695266138.211276,7,-,10,2.285,False,False,0
