timestamp,num1,operator,num2,timetaken,got_wrong,timed,key_strokes,wrong_ans
1696646684.809957,2,*,26,8.927,False,False,120,"8.379,8.927",
1696646688.957844,279,/,9,4.148,False,False,120,"4.061,4.148",
1696646735.981674,1032,/,12,47.024,False,False,120,"42.759,42.856,-44.434,44.573,-46.793,47.024",
1696646742.91982,91,+,21,6.938,True,False,120,"2.914,3.173,3.352,-5.943,-6.104,6.264,6.439,-6.776,6.938","102,111"
1696646750.899771,96,/,6,7.98,False,False,120,"7.867,7.98",
1696646752.212167,30,-,24,1.312,False,False,120,1.312,
1696646762.777914,996,/,12,10.566,False,False,120,"10.144,10.566",
1696646764.97913,78,-,62,2.201,False,False,120,"2.097,2.201",
1696646767.0733068,86,+,31,2.094,False,False,120,"1.675,1.835,2.094",
1696646770.520301,74,-,75,3.447,False,False,120,"0.862,-2.665,3.243,3.447",
1696646780.709976,4,*,72,10.19,False,False,120,"9.66,10.024,10.19",
1696646786.594796,98,+,44,5.885,False,False,120,"5.683,5.771,5.885",
1696646793.859016,225,/,5,7.264,False,False,120,"7.173,7.264",
1696646809.399611,9,*,12,1.948,False,False,120,"1.709,1.808,1.948",
1696646816.2739332,7,*,43,6.874,False,False,120,"6.548,6.764,6.874",
1696646825.54772,11,*,97,9.274,False,False,120,"8.749,8.822,9.136,9.274",
1696646827.116609,3,*,70,1.569,False,False,120,"1.342,1.434,1.569",
1696646834.211988,7,*,36,7.095,False,False,120,"6.946,7.047,7.095",
1696646844.324899,477,/,9,10.113,False,False,120,"10.07,10.113",
1696646866.72212,540,/,12,22.397,False,False,120,"22.291,22.397",
1696646868.607651,24,+,40,1.885,False,False,120,"1.826,1.885",
1696646876.020743,41,-,88,7.413,False,False,120,"7.057,7.331,7.413",
1696646879.420959,48,+,16,3.4,False,False,120,"3.373,3.4",
1696646881.047659,20,-,28,1.627,False,False,120,"1.571,1.626",
1696646893.0694242,595,/,7,12.022,False,False,120,"11.969,12.022",
1696646894.589741,48,-,58,1.52,False,False,120,"1.264,1.383,1.52",
1696646898.4237921,9,*,41,3.834,False,False,120,"2.548,3.652,3.834",
1696646905.776818,198,/,6,7.353,False,False,120,"7.253,7.353",
1696646907.660338,73,+,15,1.883,False,False,120,"1.766,1.883",
1696646908.744281,600,/,10,1.084,False,False,120,"1.001,1.084",
1696646919.590255,12,*,14,10.846,False,False,120,"10.402,10.728,10.846",
